"","entrezId","geneSymbol","chromosome"
"2089",100505970,"HEXDC-IT1","chr17"
"2090",100505971,"LOC100505971","chr1"
"2091",100505972,"LOC100505972","chr17"
"2092",100505973,"LOC100505973","chr21"
"2093",100505974,"LOC100505974","chr21"
"2094",100505975,"ENO1-AS1","chr1"
"2095",100505976,"LOC100505976","chr9"
"2096",100505978,"LOC100505978","chr12"
"2097",100505983,"LOC100505983","chr20"
"2098",100505985,"LOC100505985","chr6"
"2099",100505986,"LOC100505986","chr9"
"2100",100505987,"LOC100505987","chr1"
"2101",100505988,"LOC100505988","chr17"
"2102",100505989,"LOC100505989","chr4"
"2103",100505991,"LOC100505991","chr1"
"2104",100505993,"TMEM210","chr9"
"2105",100505994,"LOC100505994","chr5"
"2106",100505996,"LINC00403","chr13"
"2107",100506001,"NARF-OT1","chr17"
"2108",100506003,"ZFY-AS1","chrY"
"2109",100506004,"LOC100506004","chr14"
"2110",100506006,"LOC100506006","chr10"
"2111",100506007,"LOC100506007","chr1"
"2112",100506011,"LOC100506011","chr1"
"2113",100506012,"LOC100506012","chr19"
"2114",100506013,"LOC100506013","chr4"
"2115",100506014,"LOC100506014","chr2"
"2116",100506016,"LOC100506016","chr13"
"2117",100506020,"ARAP1-AS2","chr11"
"2118",100506021,"LOC100506021","chr21"
"2119",100506022,"LOC100506022","chr1"
"2120",100506023,"LOC100506023","chr1"
"2121",100506024,"LOC100506024","chr4"
"2122",100506025,"LOC100506025","chr7"
"2123",100506027,"LOC100506027","chr7"
"2124",100506029,"LOC100506029","chr1"
"2125",100506030,"LOC100506030","chr5"
"2126",100506032,"LOC100506032","chr1"
"2127",100506033,"LOC100506033","chr19"
"2128",100506034,"LOC100506034","chr20"
"2129",100506035,"LOC100506035","chr4"
"2130",100506036,"LOC100506036","chr2"
"2131",100506044,"LOC100506044","chr17"
"2132",100506045,"LOC100506045","chr11"
"2133",100506046,"LOC100506046","chr1"
"2134",100506047,"LOC100506047","chr2"
"2135",100506048,"LOC100506048","chr4"
"2136",100506049,"LRRC72","chr7"
"2137",100506050,"LOC100506050","chr7"
"2138",100506051,"LOC100506051","chr1"
"2139",100506053,"LOC100506053","chr20"
"2140",100506054,"LOC100506054","chr2"
"2141",100506057,"LOC100506057","chr10"
"2142",100506059,"LOC100506059","chr15"
"2143",100506060,"LOC100506060","chr16"
"2144",100506063,"LOC100506063","chr13"
"2145",100506065,"LOC100506065","chr9"
"2146",100506066,"LOC100506066","chr11"
"2147",100506068,"LOC100506068","chr19"
"2148",100506069,"LOC100506069","chr20"
"2149",100506070,"LOC100506070","chr18"
"2150",100506071,"LOC100506071","chr14"
"2151",100506072,"","chr12"
"2152",100506073,"","chr5"
"2153",100506075,"LOC100506075","chr22"
"2154",100506076,"LOC100506076","chr2"
"2155",100506079,"","chr13"
"2156",100506080,"HMGA1P4","chr9"
"2157",100506082,"LOC100506082","chr11"
"2158",100506083,"LOC100506083","chr16"
"2159",100506084,"ARL17B","chr17"
"2160",100506085,"LOC100506085","chr4"
"2161",100506088,"LOC100506088","chr2"
"2162",100506089,"LOC100506089","chr18"
"2163",100506090,"LOC100506090","chr6"
"2164",100506091,"LOC100506091","chr6"
"2165",100506092,"LOC100506092","chr14"
"2166",100506098,"LOC100506098","chr7"
"2167",100506100,"LOC100506100","chr9"
"2168",100506101,"LOC100506101","chr11"
"2169",100506102,"LOC100506102","chr5"
"2170",100506103,"LOC100506103","chr9"
"2171",100506104,"LOC100506104","chr15"
"2172",100506105,"LOC100506105","chr16"
"2173",100506107,"LOC100506107","chr4"
"2174",100506108,"LOC100506108","chr2"
"2175",100506110,"LOC100506110","chr14"
"2176",100506113,"LOC100506113","chr11"
"2177",100506114,"LOC100506114","chr19"
"2178",100506115,"LOC100506115","chr20"
"2179",100506119,"LOC100506119","chr9"
"2180",100506120,"LOC100506120","chr5"
"2181",100506122,"LOC100506122","chr4"
"2182",100506123,"LOC100506123","chr2"
"2183",100506124,"LOC100506124","chr2"
"2184",100506125,"LOC100506125","chr12"
"2185",100506126,"LOC100506126","chr10"
"2186",100506127,"LOC100506127","chr11"
"2187",100506128,"LOC100506128","chr1"
"2188",100506130,"LOC100506130","chr7"
"2189",100506134,"LOC100506134","chr2"
"2190",100506136,"LOC100506136","chr7"
"2191",100506137,"","chr11"
"2192",100506143,"LOC100506143","chr14"
"2193",100506144,"ZMYM6NB","chr1"
"2194",100506148,"LOC100506148","chr6"
"2195",100506153,"LOC100506153","chr20"
"2196",100506154,"LOC100506154","chr4"
"2197",100506156,"","chr6"
"2198",100506157,"LOC100506157","chr14"
"2199",100506158,"LOC100506158","chr10"
"2200",100506159,"LOC100506159","chr12"
"2201",100506161,"LOC100506161","chr1"
"2202",100506162,"LOC100506162","chr17"
"2203",100506164,"HSFX1","chrX"
"2204",100506165,"LOC100506165","chr6"
"2205",100506167,"LOC100506167","chr10"
"2206",100506172,"LOC100506172","chr16"
"2207",100506173,"LOC100506173","GL000209.1"
"2208",100506174,"LOC100506174","chr19"
"2209",100506175,"LOC100506175","chr20"
"2210",100506178,"LOC100506178","chr7"
"2211",100506183,"LOC100506183","chr16"
"2212",100506187,"LOC100506187","chr5"
"2213",100506188,"LOC100506188","chr6"
"2214",100506189,"LOC100506189","chr9"
"2215",100506190,"LOC100506190","chr9"
"2216",100506191,"LOC100506191","chr2"
"2217",100506192,"LOC100506192","chr15"
"2218",100506193,"LOC100506193","chr16"
"2219",100506195,"LOC100506195","chr22"
"2220",100506196,"LOC100506196","chr4"
"2221",100506200,"LOC100506200","chr5"
"2222",100506201,"LOC100506201","chr16"
"2223",100506206,"LOC100506206","chr1"
"2224",100506207,"LOC100506207","chr6"
"2225",100506209,"","chr10"
"2226",100506211,"MIR210HG","chr11"
"2227",100506213,"","chr1"
"2228",100506214,"LOC100506214","chr17"
"2229",100506215,"GCFC1-AS1","chr21"
"2230",100506216,"LOC100506216","chr2"
"2231",100506217,"LOC100506217","chr5"
"2232",100506219,"LOC100506219","chr5"
"2233",100506220,"LOC100506220","chr11"
"2234",100506226,"LOC100506226","chr12"
"2235",100506228,"LOC100506228","chr17"
"2236",100506229,"LOC100506229","chr4"
"2237",100506231,"LOC100506231","chr9"
"2238",100506233,"LOC100506233","chr11"
"2239",100506234,"LOC100506234","chrX"
"2240",100506235,"LOC100506235","chr2"
"2241",100506236,"LOC100506236","chr7"
"2242",100506237,"NKX2-1-AS1","chr14"
"2243",100506238,"LOC100506238","chr11"
"2244",100506240,"LOC100506240","chr22"
"2245",100506241,"LOC100506241","chr22"
"2246",100506243,"KRBOX1","chr3"
"2247",100506245,"LOC100506245","chr14"
"2248",100506247,"LOC100506247","chr9"
"2249",100506248,"LOC100506248","chr12"
"2250",100506250,"LOC100506250","chr16"
"2251",100506251,"LOC100506251","chr16"
"2252",100506252,"LOC100506252","chr17"
"2253",100506253,"LOC100506253","chr4"
"2254",100506255,"LOC100506255","chr10"
"2255",100506257,"LOC100506257","chr1"
"2256",100506258,"LOC100506258","chr11"
"2257",100506259,"LOC100506259","chr11"
"2258",100506262,"LOC100506262","chr2"
"2259",100506267,"LOC100506267","chr9"
"2260",100506268,"LOC100506268","chr16"
"2261",100506271,"LOC100506271","chr22"
"2262",100506272,"LOC100506272","chr4"
"2263",100506273,"LOC100506273","chr1"
"2264",100506274,"LOC100506274","chr2"
"2265",100506275,"KRBOX1-AS1","chr3"
"2266",100506276,"LOC100506276","chr6"
"2267",100506282,"LOC100506282","chr11"
"2268",100506284,"LOC100506284","chr21"
"2269",100506285,"LOC100506285","chr22"
"2270",100506286,"LOC100506286","chr2"
"2271",100506288,"LOC100506288","chr6"
"2272",100506289,"LOC100506289","chr7"
"2273",100506290,"LOC100506290","chr14"
"2274",100506291,"LOC100506291","chr10"
"2275",100506293,"LOC100506293","chr1"
"2276",100506294,"LOC100506294","chr15"
"2277",100506295,"LOC100506295","chr17"
"2278",100506297,"LOC100506297","chr4"
"2279",100506299,"LOC100506299","chr2"
"2280",100506300,"LOC100506300","chr2"
"2281",100506301,"LOC100506301","chr3"
"2282",100506302,"LOC100506302","chr7"
"2283",100506303,"LOC100506303","chr14"
"2284",100506304,"LOC100506304","chr9"
"2285",100506305,"LOC100506305","chr11"
"2286",100506307,"LOC100506307","chr16"
"2287",100506310,"LOC100506310","chr1"
"2288",100506311,"HOTAIRM1","chr7"
"2289",100506312,"LOC100506312","chr7"
"2290",100506314,"LOC100506314","chr12"
"2291",100506317,"LOC100506317","chr2"
"2292",100506319,"LOC100506319","chr3"
"2293",100506321,"LOC100506321","chr14"
"2294",100506325,"LOC100506325","chr17"
"2295",100506328,"LOC100506328","chr2"
"2296",100506329,"LOC100506329","chr5"
"2297",100506331,"LOC100506331","chr9"
"2298",100506334,"LOC100506334","chr21"
"2299",100506338,"LOC100506338","chr2"
"2300",100506339,"","chr6"
"2301",100506342,"LOC100506342","chr8"
"2302",100506343,"LOC100506343","chr1"
"2303",100506347,"LOC100506347","chr16"
"2304",100506348,"LOC100506348","chr20"
"2305",100506351,"LOC100506351","chr8"
"2306",100506352,"LOC100506352","chr11"
"2307",100506354,"LOC100506354","chr1"
"2308",100506356,"ARSD-AS1","chrX"
"2309",100506358,"LOC100506358","chr14"
"2310",100506361,"LOC100506361","chr22"
"2311",100506365,"LOC100506365","chr8"
"2312",100506367,"LOC100506367","chr11"
"2313",100506368,"LOC100506368","chr11"
"2314",100506369,"LOC100506369","chr21"
"2315",100506371,"LOC100506371","chr17"
"2316",100506372,"LOC100506372","chr16"
"2317",100506373,"LOC100506373","chr17"
"2318",100506374,"LOC100506374","chr19"
"2319",100506376,"TTLL10-AS1","chr1"
"2320",100506377,"LOC100506377","chr3"
"2321",100506379,"LOC100506379","chr6"
"2322",100506380,"LOC100506380","chr7"
"2323",100506384,"LOC100506384","chr20"
"2324",100506385,"LOC100506385","chr21"
"2325",100506387,"LOC100506387","chr4"
"2326",100506388,"LOC100506388","chr17"
"2327",100506389,"LOC100506389","chr6"
"2328",100506390,"LOC100506390","chr9"
"2329",100506392,"LOC100506392","chr1"
"2330",100506393,"LOC100506393","chr12"
"2331",100506394,"LOC100506394","chr13"
"2332",100506397,"LOC100506397","chr17"
"2333",100506402,"LOC100506402","chr20"
"2334",100506403,"LOC100506403","chr21"
"2335",100506405,"LOC100506405","chr2"
"2336",100506406,"LOC100506406","chr5"
"2337",100506408,"LOC100506408","chr6"
"2338",100506409,"LOC100506409","chr6"
"2339",100506411,"LOC100506411","chr14"
"2340",100506412,"LOC100506412","chr14"
"2341",100506413,"LOC100506413","chr7"
"2342",100506414,"LOC100506414","chr9"
"2343",100506415,"LOC100506415","chr12"
"2344",100506418,"LOC100506418","chr17"
"2345",100506419,"LOC100506419","chr19"
"2346",100506421,"LOC100506421","chr2"
"2347",100506422,"LOC100506422","chr9"
"2348",100506425,"LOC100506425","chr9"
"2349",100506428,"CBR3-AS1","chr21"
"2350",100506430,"LOC100506430","chr6"
"2351",100506431,"LOC100506431","chr6"
"2352",100506433,"LOC100506433","chr14"
"2353",100506436,"SPAG5-AS1","chr17"
"2354",100506437,"LOC100506437","chr19"
"2355",100506439,"LOC100506439","chr2"
"2356",100506443,"ITPKB-IT1","chr1"
"2357",100506446,"LOC100506446","chr14"
"2358",100506447,"LOC100506447","chr7"
"2359",100506451,"LOC100506451","chr12"
"2360",100506452,"LOC100506452","chr12"
"2361",100506453,"LOC100506453","chrX"
"2362",100506454,"LOC100506454","chr22"
"2363",100506455,"LOC100506455","chr2"
"2364",100506457,"LOC100506457","chr2"
"2365",100506458,"LOC100506458","chr7"
"2366",100506459,"LOC100506459","chr1"
"2367",100506462,"LOC100506462","chr4"
"2368",100506465,"LOC100506465","chr12"
"2369",100506467,"LOC100506467","chr16"
"2370",100506469,"LOC100506469","chr19"
"2371",100506470,"LOC100506470","chr20"
"2372",100506471,"LOC100506471","chr21"
"2373",100506472,"LOC100506472","chr22"
"2374",100506473,"LOC100506473","chr2"
"2375",100506474,"LOC100506474","chr2"
"2376",100506475,"EGFLAM-AS2","chr5"
"2377",100506476,"LOC100506476","chr14"
"2378",100506478,"LOC100506478","chr1"
"2379",100506479,"LOC100506479","chr1"
"2380",100506480,"LOC100506480","chr17"
"2381",100506484,"LOC100506484","chr1"
"2382",100506485,"LOC100506485","chr3"
"2383",100506486,"LOC100506486","chr4"
"2384",100506487,"LOC100506487","chr3"
"2385",100506489,"LOC100506489","chr7"
"2386",100506492,"DSCAM-AS1","chr21"
"2387",100506494,"LOC100506494","chr2"
"2388",100506495,"LIFR-AS1","chr5"
"2389",100506496,"LOC100506496","chr6"
"2390",100506497,"LOC100506497","chr7"
"2391",100506498,"LOC100506498","chr14"
"2392",100506499,"LOC100506499","chr14"
"2393",100506502,"LOC100506502","chrX"
"2394",100506503,"LOC100506503","chr22"
"2395",100506504,"LOC100506504","chr1"
"2396",100506506,"MORC1-AS1","chr3"
"2397",100506507,"LOC100506507","chr7"
"2398",100506516,"LOC100506516","chr7"
"2399",100506518,"LOC100506518","chr11"
"2400",100506521,"LOC100506521","chr16"
"2401",100506523,"LOC100506523","chr19"
"2402",100506526,"LOC100506526","chr5"
"2403",100506527,"LOC100506527","chr7"
"2404",100506528,"LOC100506528","chr1"
"2405",100506530,"LOC100506530","chr15"
"2406",100506532,"LOC100506532","chr9"
"2407",100506533,"LOC100506533","chr1"
"2408",100506534,"LOC100506534","chr7"
"2409",100506536,"LOC100506536","chr14"
"2410",100506538,"LOC100506538","chr8"
"2411",100506540,"LOC100506540","chr11"
"2412",100506542,"LOC100506542","chr16"
"2413",100506543,"LOC100506543","GL000192.1"
"2414",100506544,"LOC100506544","chr22"
"2415",100506546,"LOC100506546","chr1"
"2416",100506548,"LOC100506548","chr5"
"2417",100506549,"LOC100506549","chr14"
"2418",100506551,"LOC100506551","chr12"
"2419",100506553,"LOC100506553","chr20"
"2420",100506554,"","chr9"
"2421",100506555,"PVRL3-AS1","chr3"
"2422",100506557,"LOC100506557","chr7"
"2423",100506558,"LOC100506558","chr8"
"2424",100506559,"LOC100506559","chr16"
"2425",100506560,"LOC100506560","GL000192.1"
"2426",100506561,"LOC100506561","chr19"
"2427",100506562,"LOC100506562","chr22"
"2428",100506563,"LOC100506563","chr2"
"2429",100506564,"THEGL","chr4"
"2430",100506566,"LOC100506566","chr14"
"2431",100506571,"LOC100506571","chr1"
"2432",100506573,"LOC100506573","chr1"
"2433",100506577,"LOC100506577","chr12"
"2434",100506578,"LOC100506578","chr12"
"2435",100506580,"LOC100506580","chr15"
"2436",100506581,"C16orf95","chr16"
"2437",100506582,"LOC100506582","chr17"
"2438",100506583,"LOC100506583","chrX"
"2439",100506585,"LOC100506585","chr7"
"2440",100506586,"LOC100506586","chr7"
"2441",100506591,"LOC100506591","chr3"
"2442",100506594,"LOC100506594","chr1"
"2443",100506596,"LOC100506596","chr17"
"2444",100506597,"","chr20"
"2445",100506599,"LOC100506599","chr9"
"2446",100506600,"MAST4-AS1","chr5"
"2447",100506605,"LOC100506605","chr9"
"2448",100506606,"LOC100506606","chr12"
"2449",100506609,"LOC100506609","chr17"
"2450",100506610,"LOC100506610","chrX"
"2451",100506613,"LOC100506613","chr22"
"2452",100506620,"LOC100506620","chr9"
"2453",100506622,"LINC00540","chr13"
"2454",100506624,"LOC100506624","chr14"
"2455",100506627,"DCDC5","chr11"
"2456",100506629,"LOC100506629","chr17"
"2457",100506630,"LOC100506630","chrX"
"2458",100506631,"LOC100506631","chr6"
"2459",100506633,"LOC100506633","chr8"
"2460",100506634,"LOC100506634","chr19"
"2461",100506636,"LOC100506636","chr1"
"2462",100506637,"PRKAR2A-AS1","chr3"
"2463",100506639,"LOC100506639","chr5"
"2464",100506641,"LOC100506641","chrX"
"2465",100506642,"LOC100506642","chr1"
"2466",100506643,"LOC100506643","chr17"
"2467",100506646,"LOC100506646","chr5"
"2468",100506647,"LOC100506647","chr6"
"2469",100506649,"LOC100506649","chr12"
"2470",100506650,"LOC100506650","chr17"
"2471",100506651,"LOC100506651","chr3"
"2472",100506652,"LOC100506652","chr8"
"2473",100506655,"LOC100506655","chr16"
"2474",100506658,"OCLN","chr5"
"2475",100506659,"LOC100506659","chr14"
"2476",100506660,"LOC100506660","chr12"
"2477",100506661,"LOC100506661","chrX"
"2478",100506662,"LOC100506662","chr22"
"2479",100506664,"LOC100506664","chr7"
"2480",100506667,"LOC100506667","chr9"
"2481",100506668,"LOC100506668","chr12"
"2482",100506670,"LOC100506670","chr16"
"2483",100506671,"PHKA1-AS1","chrX"
"2484",100506673,"ZBTB20-AS2","chr3"
"2485",100506674,"LOC100506674","chr5"
"2486",100506675,"LOC100506675","chr11"
"2487",100506676,"LOC100506676","chr17"
"2488",100506677,"AA06","chr17"
"2489",100506678,"LOC100506678","chrX"
"2490",100506679,"LOC100506679","chr22"
"2491",100506680,"SACS-AS1","chr13"
"2492",100506681,"JARID2-AS1","chr6"
"2493",100506682,"LOC100506682","chr7"
"2494",100506683,"LOC100506683","chr7"
"2495",100506684,"LOC100506684","chr12"
"2496",100506686,"LOC100506686","chr15"
"2497",100506687,"LOC100506687","chr1"
"2498",100506688,"LOC100506688","chr5"
"2499",100506689,"LOC100506689","chr8"
"2500",100506691,"LOC100506691","chr12"
"2501",100506694,"LOC100506694","chr19"
"2502",100506695,"LOC100506695","chr22"
"2503",100506696,"KDM5B-AS1","chr1"
"2504",100506697,"LINC00327","chr13"
"2505",100506700,"LOC100506700","chr14"
"2506",100506705,"LOC100506705","chr16"
"2507",100506708,"LSAMP-AS1","chr3"
"2508",100506710,"LOC100506710","chr9"
"2509",100506711,"","chr1"
"2510",100506713,"LOC100506713","chr17"
"2511",100506714,"LOC100506714","chr22"
"2512",100506718,"LOC100506718","chr14"
"2513",100506720,"LOC100506720","chr11"
"2514",100506724,"LSAMP-AS4","chr3"
"2515",100506725,"LOC100506725","chr7"
"2516",100506730,"LOC100506730","chr1"
"2517",100506731,"LOC100506731","chr14"
"2518",100506732,"LOC100506732","chr12"
"2519",100506733,"LOC100506733","chr10"
"2520",100506735,"LOC100506735","chr16"
"2521",100506736,"SLFN12L","chr17"
"2522",100506737,"LOC100506737","chr22"
"2523",100506740,"LOC100506740","chr6"
"2524",100506742,"CASP12","chr11"
"2525",100506745,"LOC100506745","chrX"
"2526",100506746,"LOC100506746","chr4"
"2527",100506748,"LOC100506748","chr2"
"2528",100506749,"AGAP1-IT1","chr2"
"2529",100506751,"LOC100506751","chr14"
"2530",100506753,"LOC100506753","chr8"
"2531",100506755,"MIR497HG","chr17"
"2532",100506756,"LOC100506756","chr22"
"2533",100506757,"LOC100506757","chrX"
"2534",100506758,"LOC100506758","chr3"
"2535",100506759,"OR7E37P","chr13"
"2536",100506762,"LOC100506762","chr2"
"2537",100506765,"IGSF11-AS1","chr3"
"2538",100506766,"LOC100506766","chr5"
"2539",100506767,"LOC100506767","chr14"
"2540",100506769,"LOC100506769","chr10"
"2541",100506774,"LOC100506774","chrX"
"2542",100506775,"LOC100506775","chr1"
"2543",100506776,"LOC100506776","chr7"
"2544",100506777,"LOC100506777","chr14"
"2545",100506778,"LOC100506778","chr1"
"2546",100506779,"LOC100506779","chr17"
"2547",100506783,"HOXD-AS2","chr2"
"2548",100506785,"LOC100506785","chr10"
"2549",100506787,"LOC100506787","chr18"
"2550",100506790,"LOC100506790","chrX"
"2551",100506791,"LOC100506791","chr5"
"2552",100506792,"LOC100506792","chr14"
"2553",100506795,"LOC100506795","chr1"
"2554",100506797,"LOC100506797","chr2"
"2555",100506798,"LOC100506798","chr2"
"2556",100506800,"LOC100506800","chrX"
"2557",100506801,"LOC100506801","chr1"
"2558",100506802,"LOC100506802","chr3"
"2559",100506804,"LOC100506804","chr6"
"2560",100506810,"LOC100506810","chr1"
"2561",100506813,"LOC100506813","chr22"
"2562",100506815,"FOXP1-IT1","chr3"
"2563",100506816,"LOC100506816","chr2"
"2564",100506817,"LOC100506817","chr14"
"2565",100506821,"LOC100506821","chr18"
"2566",100506823,"LOC100506823","chr1"
"2567",100506824,"LOC100506824","chr1"
"2568",100506826,"MYLK-AS1","chr3"
"2569",100506827,"LOC100506827","chr4"
"2570",100506828,"","chr6"
"2571",100506830,"LOC100506830","chr16"
"2572",100506831,"LOC100506831","chr2"
"2573",100506832,"LOC100506832","chr14"
"2574",100506834,"LOC100506834","chr9"
"2575",100506835,"LOC100506835","chr10"
"2576",100506837,"LOC100506837","chr18"
"2577",100506838,"LOC100506838","chr1"
"2578",100506840,"IQCF4","chr3"
"2579",100506844,"LOC100506844","chr12"
"2580",100506847,"LOC100506847","chr17"
"2581",100506848,"LOC100506848","chr19"
"2582",100506849,"","chr2"
"2583",100506851,"LOC100506851","chr6"
"2584",100506852,"LOC100506852","chr11"
"2585",100506853,"LOC100506853","chr10"
"2586",100506854,"LOC100506854","chr18"
"2587",100506855,"LOC100506855","chr1"
"2588",100506856,"","chr3"
"2589",100506858,"LOC100506858","chr5"
"2590",100506859,"LOC100506859","chr13"
"2591",100506860,"LOC100506860","chr7"
"2592",100506861,"LOC100506861","chr8"
"2593",100506862,"LOC100506862","chr16"
"2594",100506863,"CLTC-IT1","chr17"
"2595",100506865,"LOC100506865","chr3"
"2596",100506866,"LOC100506866","chr2"
"2597",100506867,"LOC100506867","chr6"
"2598",100506869,"LOC100506869","chr12"
"2599",100506870,"LOC100506870","chr11"
"2600",100506871,"LOC100506871","chr1"
"2601",100506874,"LOC100506874","chr15"
"2602",100506877,"LOC100506877","chr22"
"2603",100506880,"LOC100506880","chr6"
"2604",100506881,"LOC100506881","chr7"
"2605",100506882,"LOC100506882","chr17"
"2606",100506885,"LOC100506885","chr6"
"2607",100506888,"LOC100506888","chr18"
"2608",100506890,"LOC100506890","chr2"
"2609",100506891,"LOC100506891","chr2"
"2610",100506892,"LOC100506892","chr2"
"2611",100506895,"LOC100506895","chr7"
"2612",100506897,"DAPK1-IT1","chr9"
"2613",100506898,"LOC100506898","chr17"
"2614",100506899,"LOC100506899","chr1"
"2615",100506901,"LOC100506901","chrX"
"2616",100506903,"LOC100506903","chr5"
"2617",100506905,"LOC100506905","chr2"
"2618",100506906,"FLNB-AS1","chr3"
"2619",100506907,"LOC100506907","chr3"
"2620",100506908,"LOC100506908","chr6"
"2621",100506910,"LOC100506910","chr8"
"2622",100506912,"LOC100506912","chr9"
"2623",100506913,"LOC100506913","chr10"
"2624",100506914,"LOC100506914","chr16"
"2625",100506915,"CHRM3-AS2","chr1"
"2626",100506917,"LOC100506917","chr22"
"2627",100506919,"LOC100506919","chr14"
"2628",100506922,"LOC100506922","chr2"
"2629",100506923,"LOC100506923","chr2"
"2630",100506924,"LOC100506924","chr3"
"2631",100506926,"LOC100506926","chr6"
"2632",100506927,"LOC100506927","chr8"
"2633",100506928,"LOC100506928","chr16"
"2634",100506929,"LOC100506929","chr1"
"2635",100506930,"LOC100506930","chr19"
"2636",100506934,"LOC100506934","chr2"
"2637",100506935,"LOC100506935","chr6"
"2638",100506936,"LOC100506936","chr7"
"2639",100506937,"LOC100506937","chr7"
"2640",100506939,"LOC100506939","chr10"
"2641",100506941,"LOC100506941","chr11"
"2642",100506942,"LOC100506942","chr15"
"2643",100506944,"LOC100506944","chr3"
"2644",100506948,"LOC100506948","chr15"
"2645",100506950,"LOC100506950","chr1"
"2646",100506955,"LOC100506955","chrX"
"2647",100506957,"LOC100506957","chr7"
"2648",100506963,"LOC100506963","chr1"
"2649",100506965,"LOC100506965","chr15"
"2650",100506966,"LOC100506966","chr8"
"2651",100506972,"LOC100506972","chr14"
"2652",100506974,"LOC100506974","chr17"
"2653",100506978,"LOC100506978","chr12"
"2654",100506980,"LOC100506980","chr8"
"2655",100506982,"LOC100506982","chr11"
"2656",100506983,"LOC100506983","chr15"
"2657",100506985,"LOC100506985","chr1"
"2658",100506990,"LOC100506990","chr8"
"2659",100506992,"LOC100506992","chrX"
"2660",100506993,"LOC100506993","chr2"
"2661",100506994,"LOC100506994","chr3"
"2662",100506995,"LOC100506995","chr3"
"2663",100506997,"LOC100506997","chr13"
"2664",100506999,"LOC100506999","chr14"
"2665",100507000,"LOC100507000","chr7"
"2666",100507002,"LOC100507002","chr17"
"2667",100507003,"LOC100507003","chr19"
"2668",100507004,"LOC100507004","chr19"
"2669",100507006,"LOC100507006","chr2"
"2670",100507007,"LOC100507007","chr15"
"2671",100507008,"LOC100507008","chr10"
"2672",100507009,"LOC100507009","chr9"
"2673",100507012,"LOC100507012","chr4"
"2674",100507013,"LOC100507013","chr1"
"2675",100507015,"LOC100507015","chr3"
"2676",100507018,"LOC100507018","chr8"
"2677",100507024,"LOC100507024","chr6"
"2678",100507025,"LOC100507025","chr6"
"2679",100507026,"LOC100507026","chr15"
"2680",100507027,"M1","chr10"
"2681",100507030,"LOC100507030","chr1"
"2682",100507031,"LOC100507031","chr4"
"2683",100507032,"LOC100507032","chr3"
"2684",100507033,"LOC100507033","chr3"
"2685",100507034,"LOC100507034","chr10"
"2686",100507035,"LOC100507035","chr15"
"2687",100507039,"LOC100507039","chr2"
"2688",100507040,"LINC00427","chr13"
"2689",100507043,"LOC100507043","chr14"
"2690",100507047,"LOC100507047","chr16"
"2691",100507049,"LOC100507049","chr17"
"2692",100507053,"LOC100507053","chr4"
"2693",100507054,"LOC100507054","chr4"
"2694",100507055,"LOC100507055","chr12"
"2695",100507056,"LOC100507056","chr8"
"2696",100507057,"MFI2-AS1","chr3"
"2697",100507058,"LOC100507058","chr10"
"2698",100507059,"LOC100507059","chr10"
"2699",100507062,"LOC100507062","chr3"
"2700",100507064,"TEX26-AS1","chr13"
"2701",100507065,"LOC100507065","chr12"
"2702",100507066,"LOC100507066","chr12"
"2703",100507069,"LOC100507069","chr17"
"2704",100507071,"LOC100507071","chr8"
"2705",100507073,"LOC100507073","chr2"
"2706",100507077,"LOC100507077","chr11"
"2707",100507079,"LOC100507079","chr15"
"2708",100507081,"LOC100507081","chr19"
"2709",100507082,"ADAMTS9-AS1","chr3"
"2710",100507086,"LOC100507086","chr3"
"2711",100507088,"LOC100507088","chr8"
"2712",100507091,"LOC100507091","chr12"
"2713",100507092,"LOC100507092","chr16"
"2714",100507094,"LOC100507094","chr19"
"2715",100507096,"LOC100507096","chr4"
"2716",100507098,"ADAMTS9-AS2","chr3"
"2717",100507099,"FRY-AS1","chr13"
"2718",100507100,"LOC100507100","chr6"
"2719",100507101,"LOC100507101","chr8"
"2720",100507103,"LOC100507103","chr9"
"2721",100507106,"LOC100507106","chr11"
"2722",100507108,"LOC100507108","chr14"
"2723",100507109,"LOC100507109","chr11"
"2724",100507110,"LOC100507110","chr16"
"2725",100507111,"LOC100507111","chr19"
"2726",100507113,"ZNF638-IT1","chr2"
"2727",100507114,"LINC00445","chr13"
"2728",100507115,"LOC100507115","chr6"
"2729",100507117,"LOC100507117","chr8"
"2730",100507118,"LOC100507118","chr15"
"2731",100507127,"LOC100507127","chr10"
"2732",100507128,"LOC100507128","chr11"
"2733",100507131,"LOC100507131","chr17"
"2734",100507133,"LOC100507133","chr2"
"2735",100507134,"LOC100507134","chr3"
"2736",100507135,"SPG20OS","chr13"
"2737",100507136,"LOC100507136","chr6"
"2738",100507137,"FP2234","chr9"
"2739",100507139,"LOC100507139","chr8"
"2740",100507140,"LOC100507140","chr2"
"2741",100507141,"LOC100507141","chr6"
"2742",100507143,"LOC100507143","chr10"
"2743",100507144,"LOC100507144","chr11"
"2744",100507145,"LOC100507145","chr11"
"2745",100507146,"LOC100507146","chr16"
"2746",100507149,"","chr3"
"2747",100507150,"LOC100507150","chr4"
"2748",100507153,"LOC100507153","chr3"
"2749",100507156,"LOC100507156","chr8"
"2750",100507160,"LOC100507160","chr4"
"2751",100507161,"LOC100507161","chr5"
"2752",100507162,"LOC100507162","chr8"
"2753",100507163,"LOC100507163","chr10"
